ClubName,Ground,Capacity,Location
Manchester City,City of Manchester Stadium,"55,017",Manchester
Manchester United,Old Trafford,"74,879",Manchester
Tottenham Hotspur,White Hart Lane Stadium,"36,000",London
Liverpool,Anfield,"54,074",Liverpool
Chelsea,Stamford Bridge,"40,853",London
Arsenal,Emirates Stadium,"60,260",London
Everton,Goodison Park,"39,221",Liverpool
Swansea City,Liberty Stadium,"21,088",Swansea
Stoke City,bet365 Stadium,"30,089",Stoke
West Bromwich Albion,The Hawthorns,"26,688",West Bromwich
Wolfsburg,Volkswagen Arena,"30,000",Wolfsburg
Valencia,Mestalla,"50,000",Valencia
Aston Villa,Villa Park,"42,660",Birmingham
Fulham F.C.,Craven Cottage,"25,700",Fulham
Paris FC,"Stade Charly, Paris","20,000",Paris
Bayer 04 Leverkusen,Ulrich-Haberland-Stadion,"30,210",Leverkusen
AS Monaco,Stade Louis II,"18,523",Monaco
Southampton,St Mary's Stadium,"32,384",Southampton
Philips Sport Vereniging,Philips Stadion,"35,000",Eindhoven
FC Bayern Munich,Allianz Arena,"75,000",Munich
Torino,Stadio Olimpico Grande Torino,"27,958",Torino
Sport Lisboa e Benfica,"Lisbon, Portugal","65,647",Benfica
Real Madrid,Santiago Bernabeu Stadium,"81,044",Madrid
Vasco da Gama,Parow Park,"3,000",Cape Town
Leicester City,King Power Stadium,"32,500",Leicester City
Villarreal CF,Plaza Labrador,"24,500",Valencia
Sevilla,Ramon Sanchez Pizjuan,"43,883",Sevilla
Huddersfield Town Association,Galpharm Stadium,"24,500",Huddersfield
Celtic F.C.,Celtic Park,"60,411",Glasgow
Galatasaray Spor Kulubu,Turk Telekom Stad,"52,223",Istanbul
Real Sociedad,Anoeta,"26,756",San Sebastian
